kde_value,density_criteria_met,disaster_id
2034.5557460938815,Yes,CA_20000613_BERRYESSA
234.21351846422098,No,CA_20000629_BARRETT
332.34953669789314,Yes,CA_20000722_MANTER
1252.645614139472,Yes,CA_20000726_MORGAN
4083.684073131502,Yes,CA_20000729_PECHANGA
746.0693262698236,Yes,CA_20000802_KING
1283.7618859378795,Yes,CA_20000814_UNION
574.0150077565879,Yes,CA_20000817_COOLEY
501.9293573663712,Yes,CA_20000827_HUNTER
1829.931088392901,Yes,CA_20000910_BLACK RANCH
633.7604973606149,Yes,CA_20000913_YUCCA
151.47486483138965,No,CA_20000929_WEINSTEIN
1581.1347092073665,Yes,CA_20001021_HIDDEN
6916.643684285717,Yes,CA_20010103_VIEJAS
2783.4653970954655,Yes,CA_20010613_JACKSON
4798.4307109693345,Yes,CA_20010617_MARTIS
29.741441726753457,No,CA_20010728_POWERHOUSE
77.78547213619129,No,CA_20010808_TROUGH
5.778892385018809,No,CA_20010809_BLUE COMPLEX
200.21702373735982,No,CA_20010812_GAP
814.8561791910812,Yes,CA_20010818_CREEK
60.76242042675622,No,CA_20010819_HIGHWAY
909.0025916096536,Yes,CA_20010819_LEONARD
229.73890884262502,No,CA_20010819_MEDICINE
580.6926986299306,Yes,CA_20010820_NORTH FORK
96.35575379292948,No,CA_20010825_STAR
371.36225347925523,Yes,CA_20010828_OREGON
1185.6388047160274,Yes,CA_20010905_DARBY
1862.4680102798475,Yes,CA_20010906_POE
5813.522045209609,Yes,CA_20011012_STABLES
6463.772426048743,Yes,CA_20020210_GAVILAN
5918.471588944961,Yes,CA_20020511_BOUQUET
5420.895195669304,Yes,CA_20020513_ANTONIO
4787.41454078907,Yes,CA_20020531_ARROWHEAD
1718.4808943904286,Yes,CA_20020601_SUCCESS
1928.2654587844972,Yes,CA_20020601_WOLF
5868.080849288067,Yes,CA_20020605_COPPER
743.1983471483215,Yes,CA_20020615_BOREL
4579.505397537272,Yes,CA_20020615_SUDDEN
4826.119446820315,Yes,CA_20020616_BLUECUT
569.5625879342329,Yes,CA_20020618_COPCO FIRE
247.87153982456547,No,CA_20020619_TROY
4944.157274346688,Yes,CA_20020626_LOUISIANA
174.04515534081142,No,CA_20020708_CAMELBACK
851.3677102063357,Yes,CA_20020711_MERRILL
6765.24412470438,Yes,CA_20020718_58
765.003194083693,Yes,CA_20020721_DEER
332.06797857089555,Yes,CA_20020721_MCNALLY
371.49691054522066,Yes,CA_20020729_PINES
224.79902625485582,No,CA_20020827_WOODLAND
1724.088073996123,Yes,CA_20020831_HICKOK
5046.9865038409835,Yes,CA_20020901_CURVE
1565.7840034420726,Yes,CA_20020902_SWASEY
3975.3175692287564,Yes,CA_20020903_LEONA
21.224622204544474,No,CA_20020903_SQUIRREL
3136.3927253377847,Yes,CA_20020918_SIERRA
8524.987984502197,Yes,CA_20020922_WILLIAMS/CURVE COMPLEX
5688.285067551515,Yes,CA_20020923_CROY
1638.828618965492,Yes,CA_20021126_PINE
3583.87127717236,Yes,CA_20030106_PACIFIC
